,precision,recall,f1-score,support
Normal,0.8566433566433567,0.5190677966101694,0.6464379947229552,472.0
Diabetic Retinopathy,0.9427083333333334,0.4513715710723192,0.6104553119730185,401.0
Glaucoma,0.4789915966386555,0.5533980582524272,0.5135135135135135,103.0
Cataract,0.41379310344827586,0.6666666666666666,0.5106382978723404,36.0
AMD,0.11290322580645161,0.23333333333333334,0.15217391304347827,30.0
Hypertension,0.013333333333333334,0.1,0.023529411764705882,10.0
Myopia,0.6060606060606061,0.7692307692307693,0.6779661016949152,26.0
Others,0.181058495821727,0.6132075471698113,0.27956989247311825,106.0
accuracy,0.5067567567567568,0.5067567567567568,0.5067567567567568,0.5067567567567568
macro avg,0.45068650638571744,0.48828446779193707,0.42678555463225565,1184.0
weighted avg,0.7475207758466691,0.5067567567567568,0.5686218099500685,1184.0
