,precision,recall,f1-score,support
Normal,0.8131487889273357,0.4978813559322034,0.6176084099868594,472.0
Diabetic Retinopathy,0.9130434782608695,0.41895261845386533,0.5743589743589743,401.0
Glaucoma,0.5111111111111111,0.44660194174757284,0.47668393782383417,103.0
Cataract,0.4032258064516129,0.6944444444444444,0.5102040816326531,36.0
AMD,0.047337278106508875,0.26666666666666666,0.08040201005025126,30.0
Hypertension,0.010309278350515464,0.2,0.0196078431372549,10.0
Myopia,0.5,0.7692307692307693,0.6060606060606061,26.0
Others,0.1858974358974359,0.27358490566037735,0.22137404580152673,106.0
accuracy,0.4501689189189189,0.4501689189189189,0.4501689189189189,0.4501689189189189
macro avg,0.42300914713817367,0.4459203377669874,0.388287488606495,1184.0
weighted avg,0.7190249797000356,0.4501689189189189,0.533045839621448,1184.0
